id,source,title,authors,year,venue,stage_reached,decision,exclusion_reason,category,notes,subcategory,screener,screener_original,confidence,doi,arxiv_id,citations,citations_source,is_published,n_sources,all_sources,priority_band,has_abstract
C00026,openalex_acm,A Survey of Intrusion Detection Systems Leveraging Host Data,Robert A. Bridges; Tarrah R. Glass-Vanderlan; Michael D. Iannacone; Maria S. Vincent; Qian Chen,2019,ACM Computing Surveys,stage_1_pending,,,,,,,,,10.1145/3344382,,136,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00027,openalex_acm,A Survey on Gait Recognition via Wearable Sensors,Maria De Marsico; Alessio Mecca,2019,ACM Computing Surveys,stage_1_pending,,,,,,,,,10.1145/3340293,,120,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00028,openalex,A cell cycle-coordinated Polymerase II transcription compartment encompasses gene expression before global genome activation,Yavor Hadzhiev; Haseeb K. Qureshi; Lucy Wheatley; Ledean Cooper; Aleksandra Jasiulewicz; Huy V. Nguyen; Joseph W. Wragg; Divyasree Poovathumkadavil; Sascha Conic; Sarah Bajan; Attila Sı́k; György Hutvágner; Làszlò Tora; Agnieszka Gambus; John Fossey; Ferenc Müller,2019,Nature Communications,stage_1_pending,,,,,,,,,10.1038/s41467-019-08487-5,,264,openalex,yes,1,openalex,confirmation,yes
C00029,openalex,A survey of methods for explaining black box models,Riccardo Guidotti; Anna Monreale; Salvatore Ruggieri; Franco Turini; Fosca Giannotti; Dino Pedreschi,2019,ISTI Open Portal,stage_1_pending,,,,,,,,,10.1145/3236009,,4812,openalex,yes,1,openalex,confirmation,yes
C00030,openalex,A survey on Image Data Augmentation for Deep Learning,Connor Shorten; Taghi M. Khoshgoftaar,2019,Journal Of Big Data,stage_1_pending,,,,,,,,,10.1186/s40537-019-0197-0,,12611,openalex,yes,1,openalex,confirmation,yes
C00031,openalex,A survey on semi-supervised learning,Jesper E. van Engelen; Holger H. Hoos,2019,Machine Learning,stage_1_pending,,,,,,,,,10.1007/s10994-019-05855-6,,2588,openalex,yes,1,openalex,confirmation,yes
C00032,semanticscholar,ANODE: Unconditionally Accurate Memory-Efficient Gradients for Neural ODEs,A. Gholami; K. Keutzer; G. Biros,2019,International Joint Conference on Artificial Intelligence,stage_1_pending,,,,,,,,,10.24963/ijcai.2019/103,1902.10298,202,semanticscholar,yes,1,semanticscholar,confirmation,yes
C00033,semanticscholar,Adaptively Truncating Backpropagation Through Time to Control Gradient Bias,Christopher Aicher; N. Foti; E. Fox,2019,Conference on Uncertainty in Artificial Intelligence,stage_1_pending,,,,,,,,,,1905.07473,41,semanticscholar,no,1,semanticscholar,confirmation,yes
C00034,openalex_acm,Affective Computing for Large-scale Heterogeneous Multimedia Data,Sicheng Zhao; Shangfei Wang; Mohammad Soleymani; Dhiraj Joshi; Qiang Ji,2019,ACM Transactions on Multimedia Computing Communications and Applications,stage_1_pending,,,,,,,,,10.1145/3363560,1911.05609,77,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00035,openalex_acm,An Ultra-Low Energy Human Activity Recognition Accelerator for Wearable Health Applications,Ganapati Bhat; Yiğit Tuncel; Sizhe An; Hyung Gyu Lee; Ümit Y. Ogras,2019,ACM Transactions on Embedded Computing Systems,stage_1_pending,,,,,,,,,10.1145/3358175,,37,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00036,openalex,Automated optimized parameters for T-distributed stochastic neighbor embedding improve visualization and analysis of large datasets,Anna C. Belkina; Christopher O. Ciccolella; Rina Anno; Richard Halpert; Josef Špidlen; Jennifer Snyder‐Cappione,2019,Nature Communications,stage_1_pending,,,,,,,,,10.1038/s41467-019-13055-y,,634,openalex,yes,1,openalex,confirmation,yes
C00037,openalex,"Blocking CXCR4 alleviates desmoplasia, increases T-lymphocyte infiltration, and improves immunotherapy in metastatic breast cancer",Ivy X. Chen; Vikash P. Chauhan; Jessica M. Posada; Mei Rosa Ng; Michelle Wu; Pichet Adstamongkonkul; Peigen Huang; Neal I. Lindeman; Róbert Langer; Rakesh K. Jain,2019,Proceedings of the National Academy of Sciences,stage_1_pending,,,,,,,,,10.1073/pnas.1815515116,,404,openalex,yes,1,openalex,confirmation,yes
C00038,semanticscholar,C L ] 1 4 O ct 2 01 9 Q 8 BERT : Quantized 8 Bit BERT,Ofir Zafrir; Guy Boudoukh; Peter Izsak; Moshe Wasserblat,2019,,stage_1_pending,,,,No abstract in pool; title-only screen or fetch abstract.,,,,,,,5,semanticscholar,no,1,semanticscholar,confirmation,no
C00039,arxiv,CAT: Compression-Aware Training for bandwidth reduction,Chaim Baskin; Brian Chmiel; Evgenii Zheltonozhskii; Ron Banner; Alex M. Bronstein; Avi Mendelson,2019,arXiv,stage_1_pending,,,,,,,,,,1909.11481,0,,no,1,arxiv,confirmation,yes
C00040,semanticscholar,Checkpointing in Practice for Memory-Efficient Training on the Edge,E. Naveen; Pratyush Kumar,2019,2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),stage_1_pending,,,,,,,,,10.1109/hpcc/smartcity/dss.2019.00387,,2,semanticscholar,yes,3,google_scholar|openalex|semanticscholar,confirmation,yes
C00041,semanticscholar,Communication-efficient distributed SGD with Sketching,Nikita Ivkin; D. Rothchild; Enayat Ullah; V. Braverman; Ion Stoica; R. Arora,2019,Neural Information Processing Systems,stage_1_pending,,,,,,,,,,1903.04488,231,semanticscholar,no,1,semanticscholar,confirmation,yes
C00042,arxiv,Cross-Lingual BERT Transformation for Zero-Shot Dependency Parsing,Yuxuan Wang; Wanxiang Che; Jiang Guo; Yijia Liu; Ting Liu,2019,arXiv,stage_1_pending,,,,,,,,,,1909.06775,0,,no,1,arxiv,confirmation,yes
C00043,arxiv,Cross-Lingual Natural Language Generation via Pre-Training,Zewen Chi; Li Dong; Furu Wei; Wenhui Wang; Xian-Ling Mao; Heyan Huang,2019,arXiv,stage_1_pending,,,,,,,,,,1909.10481,0,,no,1,arxiv,confirmation,yes
C00044,arxiv,Cross-Lingual Relevance Transfer for Document Retrieval,Peng Shi; Jimmy Lin,2019,arXiv,stage_1_pending,,,,,,,,,,1911.02989,0,,no,1,arxiv,confirmation,yes
C00045,arxiv,DAmageNet: A Universal Adversarial Dataset,Sizhe Chen; Xiaolin Huang; Zhengbao He; Chengjin Sun,2019,arXiv,stage_1_pending,,,,,,,,,,1912.07160,0,,no,1,arxiv,confirmation,yes
C00046,openalex_acm,"Data Sets, Modeling, and Decision Making in Smart Cities",Meiyi Ma; Sarah Masud Preum; Mohsin Y Ahmed; William Tärneberg; Abdeltawab Hendawi; John A. Stankovic,2019,ACM Transactions on Cyber-Physical Systems,stage_1_pending,,,,,,,,,10.1145/3355283,,56,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00047,openalex,Deep Learning for Generic Object Detection: A Survey,Li Liu; Wanli Ouyang; Xiaogang Wang; Paul Fieguth; Jie Chen; Xinwang Liu; Matti Pietikäinen,2019,International Journal of Computer Vision,stage_1_pending,,,,,,,,,10.1007/s11263-019-01247-4,,2798,openalex,yes,1,openalex,confirmation,yes
C00048,openalex,Deep Metric Learning: A Survey,Mahmut Kaya; Hasan Şakir Bılge,2019,Symmetry,stage_1_pending,,,,,,,,,10.3390/sym11091066,,688,openalex,yes,1,openalex,confirmation,yes
C00049,ieee,Distributed Training for Multilingual Combined Tokenizer using Deep Learning Model and Simple Communication Protocol,Christian Nathaniel Purwanto; Arya Tandy Hermawan; Joan Santoso; Gunawan,2019,2019 1st International Conference on Cybernetics and Intelligent System (ICORIS),stage_1_pending,,,,,,,,,10.1109/icoris.2019.8874898,,0,,yes,1,ieee,confirmation,yes
C00050,arxiv,Does Data Augmentation Lead to Positive Margin?,Shashank Rajput; Zhili Feng; Zachary Charles; Po-Ling Loh; Dimitris Papailiopoulos,2019,arXiv,stage_1_pending,,,,,,,,,,1905.03177,0,,no,1,arxiv,confirmation,yes
C00051,arxiv,ELF OpenGo: An Analysis and Open Reimplementation of AlphaZero,Yuandong Tian; Jerry Ma; Qucheng Gong; Shubho Sengupta; Zhuoyuan Chen; James Pinkerton; C. Lawrence Zitnick,2019,arXiv,stage_1_pending,,,,,,,,,,1902.04522,0,,no,1,arxiv,confirmation,yes
C00052,openalex,Edge Intelligence: Paving the Last Mile of Artificial Intelligence With Edge Computing,Zhi Zhou; Xu Chen; En Li; Liekang Zeng; Ke Luo; Junshan Zhang,2019,Proceedings of the IEEE,stage_1_pending,,,,,,,,,10.1109/jproc.2019.2918951,,2219,openalex,yes,1,openalex,confirmation,yes
C00053,ieee,Entropy-Based Gradient Compression for Distributed Deep Learning,Di Kuang; Mengqiang Chen; Danyang Xiao; Weigang Wu,2019,2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),stage_1_pending,,,,,,,,,10.1109/hpcc/smartcity/dss.2019.00046,,7,ieee,yes,1,ieee,confirmation,yes
C00054,openalex,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",Alejandro Barredo Arrieta; Natalia Díaz-Rodríguez; Javier Del Ser; Adrien Bennetot; Siham Tabik; Alberto Barbado; Salvador García; Sergio Gil-López; Daniel Molina; Richard Benjamins; Raja Chatila; Francisco Herrera,2019,Information Fusion,stage_1_pending,,,,No abstract in pool; title-only screen or fetch abstract.,,,,,10.1016/j.inffus.2019.12.012,1910.10045,9253,openalex,yes,1,openalex,confirmation,no
C00055,semanticscholar,Fast and Communication-Efficient Algorithm for Distributed Support Vector Machine Training,Jyotikrishna Dass; V. Sarin; R. Mahapatra,2019,IEEE Transactions on Parallel and Distributed Systems,stage_1_pending,,,,,,,,,10.1109/tpds.2018.2879950,,20,semanticscholar,yes,1,semanticscholar,confirmation,yes
C00056,openalex,Federated Learning in Mobile Edge Networks: A Comprehensive Survey,Wei Yang Bryan Lim; Nguyen Cong Luong; Dinh Thai Hoang; Yutao Jiao; Ying‐Chang Liang; Qiang Yang; Dusit Niyato; Chunyan Miao,2019,arXiv (Cornell University),stage_1_pending,,,,,,,,,10.48550/arxiv.1909.11875,1909.11875,145,openalex,yes,1,openalex,confirmation,yes
C00057,openalex,Federated Learning-Based Cognitive Detection of Jamming Attack in Flying Ad-Hoc Network,Nishat I Mowla; Nguyen H. Tran; Inshil Doh; Kijoon Chae,2019,IEEE Access,stage_1_pending,,,,,,,,,10.1109/access.2019.2962873,,154,openalex,yes,1,openalex,confirmation,yes
C00058,semanticscholar,IP1 Interactive Presentations,Houxiang Ji; Linghao Song; Li Jiang; H. Li; Yiran Chen; Jacob R. Stevens; Yue Du; V. Kozhikkottu; A. Raghunathan,2019,,stage_1_pending,,,,No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,semanticscholar,confirmation,no
C00059,arxiv,Improving Fictitious Play Reinforcement Learning with Expanding Models,Rong-Jun Qin; Jing-Cheng Pang; Yang Yu,2019,arXiv,stage_1_pending,,,,,,,,,,1911.11928,0,,no,1,arxiv,confirmation,yes
C00060,semanticscholar,"January 03 , 2019 AUTOMATED FAILURE PREDICTION AND SELF-HEALING OF EDGE DEVICES IN INTERNET OF THINGS INFRASTRUCTURE",Lalit Jain; N. Pothireddy; Sai Kiran Reddy Malikireddy; V. Parekh; Bipin Algubelli,2019,,stage_1_pending,,,,No abstract in pool; title-only screen or fetch abstract.,,,,,,,0,,no,1,semanticscholar,confirmation,no
C00061,arxiv,Learning Deep Parameterized Skills from Demonstration for Re-targetable Visuomotor Control,Jonathan Chang; Nishanth Kumar; Sean Hastings; Aaron Gokaslan; Diego Romeres; Devesh Jha; Daniel Nikovski; George Konidaris; Stefanie Tellex,2019,arXiv,stage_1_pending,,,,,,,,,,1910.10628,0,,no,1,arxiv,confirmation,yes
C00062,openalex_acm,Logarithmic Communication for Distributed Optimization in Multi-Agent Systems,Palma London; Shai Vardi; Adam Wierman,2019,Proceedings of the ACM on Measurement and Analysis of Computing Systems,stage_1_pending,,,,,,,,,10.1145/3366696,,5,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00063,openalex_acm,Long Short-Term Memory Network Design for Analog Computing,Zhou Zhao; Ashok Srivastava; Lu Peng; Qing Chen,2019,ACM Journal on Emerging Technologies in Computing Systems,stage_1_pending,,,,,,,,,10.1145/3289393,,75,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00064,semanticscholar,Low-Bit Quantization and Quantization-Aware Training for Small-Footprint Keyword Spotting,Yuriy Mishchenko; Yusuf Goren; Ming Sun; Chris Beauchene; Spyros Matsoukas; Oleg Rybakov; S. Vitaladevuni,2019,International Conference on Machine Learning and Applications,stage_1_pending,,,,,,,,,10.1109/icmla.2019.00127,,30,semanticscholar,yes,1,semanticscholar,confirmation,yes
C00065,semanticscholar,Low-Memory Neural Network Training: A Technical Report,N. Sohoni; Christopher R. Aberger; M. Leszczynski; Jian Zhang; C. Ré,2019,arXiv.org,stage_1_pending,,,,,,,,,,1904.10631,135,google_scholar,no,3,arxiv|google_scholar|semanticscholar,confirmation,yes
C00066,openalex_acm,Machine Learning Methods for Reliable Resource Provisioning in Edge-Cloud Computing,Thang Le Duc; Rafael García Leiva; Paolo Casari; Per-Olov Östberg,2019,ACM Computing Surveys,stage_1_pending,,,,,,,,,10.1145/3341145,,198,openalex_acm,yes,1,openalex_acm,confirmation,yes
C00067,openalex,Machine Learning and Deep Learning Methods for Intrusion Detection Systems: A Survey,Hongyu Liu; Bo Lang,2019,Applied Sciences,stage_1_pending,,,,,,,,,10.3390/app9204396,,1079,openalex,yes,1,openalex,confirmation,yes
C00068,openalex,Machine Learning and Deep Learning frameworks and libraries for large-scale data mining: a survey,Giang Nguyen; Štefan Dlugolinský; Martin Bobák; Viet Tran; Álvaro López García; Ignacio Heredia; Peter Malík; Ladislav Hluchý,2019,Artificial Intelligence Review,stage_1_pending,,,,,,,,,10.1007/s10462-018-09679-z,,861,openalex,yes,1,openalex,confirmation,yes
C00069,semanticscholar,Mean Shift Rejection: Training Deep Neural Networks Without Minibatch Statistics or Normalization,B. Ruff; Taylor Beck; Joscha Bach,2019,arXiv.org,stage_1_pending,,,,,,,,,,1911.13173,3,semanticscholar,no,1,semanticscholar,confirmation,yes
C00070,semanticscholar,Memory-Efficient Cascade 3D U-Net for Brain Tumor Segmentation,Xinchao Cheng; Zongkang Jiang; Qiule Sun; Jianxin Zhang,2019,BrainLes@MICCAI,stage_1_pending,,,,No abstract in pool; title-only screen or fetch abstract.,,,,,10.1007/978-3-030-46640-4_23,,24,semanticscholar,yes,1,semanticscholar,confirmation,no
C00071,semanticscholar,Memory-Efficient Hierarchical Neural Architecture Search for Image Denoising,Haokui Zhang; Ying Li; Hao Chen; Chunhua Shen,2019,Computer Vision and Pattern Recognition,stage_1_pending,,,,,,,,,10.1109/cvpr42600.2020.00371,1909.08228,61,semanticscholar,yes,1,semanticscholar,confirmation,yes
C00072,openalex,Modeling aspects of the language of life through transfer-learning protein sequences,Michael Heinzinger; Ahmed Elnaggar; Yu Wang; Christian Dallago; Dmitrii Nechaev; Florian Matthes; Burkhard Rost,2019,BMC Bioinformatics,stage_1_pending,,,,,,,,,10.1186/s12859-019-3220-8,,646,openalex,yes,1,openalex,confirmation,yes
C00073,openalex,Molecular and pharmacological modulators of the tumor immune contexture revealed by deconvolution of RNA-seq data,Francesca Finotello; Clemens Mayer; Christina Plattner; Gerhard Laschober; Dietmar Rieder; Hubert Hackl; Anne Krogsdam; Zuzana Loncová; Wilfried Posch; Doris Wilflingseder; Sieghart Sopper; Marieke E. Ijsselsteijn; Thomas P. Brouwer; Douglas B. Johnson; Yaomin Xu; Yu Wang; Melinda E. Sanders; Mónica V. Estrada; Paula I. González-Ericsson; Pornpimol Charoentong; Justin M. Balko; Noel F.C.C. de Miranda; Zlatko Trajanoski,2019,Genome Medicine,stage_1_pending,,,,,,,,,10.1186/s13073-019-0638-6,,1694,openalex,yes,1,openalex,confirmation,yes
C00074,openalex,Multi-Task Deep Neural Networks for Natural Language Understanding,Xiaodong Liu; Pengcheng He; Weizhu Chen; Jianfeng Gao,2019,,stage_1_pending,,,,,,,,,10.18653/v1/p19-1441,,1056,openalex,yes,1,openalex,confirmation,yes
C00075,openalex,Neural Grammatical Error Correction Systems with Unsupervised Pre-training on Synthetic Data,Roman Grundkiewicz; Marcin Junczys-Dowmunt; Kenneth Heafield,2019,,stage_1_pending,,,,,,,,,10.18653/v1/w19-4427,,185,openalex,yes,1,openalex,confirmation,yes
C00076,semanticscholar,Online Normalization for Training Neural Networks,Vitaliy Chiley; I. Sharapov; Atli Kosson; Urs Köster; R. Reece; S. D. L. Fuente; Vishal Subbiah; Michael James,2019,Neural Information Processing Systems,stage_1_pending,,,,,,,,,,1905.05894,59,semanticscholar,no,1,semanticscholar,confirmation,yes
C00077,semanticscholar,Optimal checkpointing for heterogeneous chains: how to train deep neural networks with limited memory,Olivier Beaumont; Lionel Eyraud-Dubois; J. Herrmann; A. Joly; Alena Shilova,2019,arXiv.org,stage_1_pending,,,,,,,,,,1911.13214,46,semanticscholar,no,1,semanticscholar,confirmation,yes
C00078,google_scholar,Optimization of GPU memory usage for training deep neural networks,"CL Hung, C Hsin, HH Wang, CY Tang",2019,"International Symposium on …, 2019",stage_1_pending,,,,No abstract in pool; title-only screen or fetch abstract.,,,,,,,5,google_scholar,no,1,google_scholar,confirmation,no
C00079,openalex,Parallel Restarted SGD with Faster Convergence and Less Communication: Demystifying Why Model Averaging Works for Deep Learning,Hao Yu; Sen Yang; Shenghuo Zhu,2019,Proceedings of the AAAI Conference on Artificial Intelligence,stage_1_pending,,,,,,,,,10.1609/aaai.v33i01.33015693,,512,openalex,yes,1,openalex,confirmation,yes
C00080,openalex,Parameter-Efficient Transfer Learning for NLP,Neil Houlsby; Andrei Giurgiu; Stanisław Jastrzȩbski; Bruna Morrone; Quentin de Laroussilhe; Andréa Gesmundo; Mona Attariyan; Sylvain Gelly,2019,arXiv (Cornell University),stage_1_pending,,,,,,,,,10.48550/arxiv.1902.00751,1902.00751,6883,semanticscholar,yes,3,arxiv|openalex|semanticscholar,confirmation,yes
C00081,arxiv,Pre-training A Neural Language Model Improves The Sample Efficiency of an Emergency Room Classification Model,Binbin Xu; Cédric Gil-Jardiné; Frantz Thiessard; Eric Tellier; Marta Avalos; Emmanuel Lagarde,2019,arXiv,stage_1_pending,,,,,,,,,,1909.01136,0,,no,1,arxiv,confirmation,yes
C00082,arxiv,Pretrained Encyclopedia: Weakly Supervised Knowledge-Pretrained Language Model,Wenhan Xiong; Jingfei Du; William Yang Wang; Veselin Stoyanov,2019,arXiv,stage_1_pending,,,,,,,,,,1912.09637,0,,no,1,arxiv,confirmation,yes
C00083,openalex,Putting An End to End-to-End: Gradient-Isolated Learning of Representations,Sindy Löwe; Peter O’Connor; Bastiaan S. Veeling,2019,UvA-DARE (University of Amsterdam),stage_1_pending,,,,,,,,,,,48,openalex,no,1,openalex,confirmation,yes
C00084,openalex,Q8BERT: Quantized 8Bit BERT,Ofir Zafrir; Guy Boudoukh; Peter Izsak; Moshe Wasserblat,2019,arXiv,stage_1_pending,,,,,,,,,10.1109/emc2-nips53020.2019.00016,1910.06188,584,semanticscholar,yes,4,arxiv|ieee|openalex|semanticscholar,confirmation,yes
C00085,semanticscholar,Reducing the Memory Cost of Training Convolutional Neural Networks by CPU Offloading,T. Hascoet; Weihao Zhuang; Q. Febvre; Y. Ariki; T. Takiguchi,2019,Journal of Software Engineering and Applications,stage_1_pending,,,,,,,,,10.4236/jsea.2019.128019,,8,semanticscholar,yes,3,google_scholar|openalex|semanticscholar,confirmation,yes
C00086,semanticscholar,Regularizing Activation Distribution for Training Binarized Deep Networks,Ruizhou Ding; Ting-Wu Chin; Z. Liu; Diana Marculescu,2019,Computer Vision and Pattern Recognition,stage_1_pending,,,,,,,,,10.1109/cvpr.2019.01167,1904.02823,157,semanticscholar,yes,1,semanticscholar,confirmation,yes
C00087,semanticscholar,Reversible designs for extreme memory cost reduction of CNN training,T. Hascoet; Q. Febvre; Weihao Zhuang; Y. Ariki; T. Takiguchi,2019,EURASIP Journal on Image and Video Processing,stage_1_pending,,,,,,,,,10.1186/s13640-022-00601-w,1910.11127,3,semanticscholar,yes,1,semanticscholar,confirmation,yes
