id,source,parent_query,bucket,title,authors,venue,year,site,cited_by,date_retrieved,stage_reached,decision,exclusion_reason
GS0014,google_scholar,B1_peft_2,B1_2_lowrank_variants,Modify mistral large performance with low-rank adaptation (lora) on the big-bench dataset,"H Fujiwara, R Kimura, T Nakano",2024,2024,assets-eu.researchsquare.com,59,2026-07-21/22,,,
GS0015,google_scholar,B1_peft_2,B1_2_lowrank_variants,C-LoRA: Contextual low-rank adaptation for uncertainty estimation in large language models,"AH Rahmati, S Jantre, W Zhang…","Advances in …, 2026 -",2026,,12,2026-07-21/22,,,
GS0016,google_scholar,B1_peft_2,B1_2_lowrank_variants,Sd-lora: Scalable decoupled low-rank adaptation for class incremental learning,"Y Wu, H Piao, LK Huang, R Wang, W Li…","arXiv preprint arXiv …, 2025 -",2025,,100,2026-07-21/22,,,
GS0017,google_scholar,B1_peft_2,B1_2_lowrank_variants,La-LoRA: Parameter-efficient fine-tuning with layer-wise adaptive low-rank adaptation,"J Gu, J Yuan, J Cai, X Zhou, L Fan","Neural Networks, 2025",2025,Elsevier,21,2026-07-21/22,,,
GS0018,google_scholar,B1_peft_2,B1_2_lowrank_variants,Lora-composer: Leveraging low-rank adaptation for multi-concept customization in training-free diffusion models,"Y Yang, W Wang, L Peng, C Song…","… on Image Processing, 2025 -",2025,,83,2026-07-21/22,,,
GS0019,google_scholar,B1_peft_2,B1_2_lowrank_variants,Randomized asymmetric chain of lora: The first meaningful theoretical framework for low-rank adaptation,"G Malinovsky, U Michieli, HAAK Hammoud…","arXiv preprint arXiv …, 2024 -",2024,,26,2026-07-21/22,,,
GS0020,google_scholar,B1_peft_2,B1_2_lowrank_variants,C-LoRA: Continual low-rank adaptation for pre-trained models,2025,arxiv.org,2025,,22,2026-07-21/22,,,
GS0021,google_scholar,B1_peft_2,B1_2_lowrank_variants,CL-LoRA: Continual low-rank adaptation for rehearsal-free class-incremental learning,"J He, Z Duan, F Zhu","… of the Computer Vision and Pattern …, 2025 -",2025,,64,2026-07-21/22,,,
GS0022,google_scholar,B1_peft_2,B1_2_lowrank_variants,Alora: Allocating low-rank adaptation for fine-tuning large language models,"Z Liu, J Lyn, W Zhu, X Tian…","Proceedings of the 2024 …, 2024 -",2024,,99,2026-07-21/22,,,
GS0023,google_scholar,B1_peft_2,B1_2_lowrank_variants,Sparse low-rank adaptation of pre-trained language models,"N Ding, X Lv, Q Wang, Y Chen, B Zhou…","Proceedings of the …, 2023 -",2023,,221,2026-07-21/22,,,
GS0024,google_scholar,B1_peft_2,B1_2_lowrank_variants,Low-rank adaptation for scalable large language models: A comprehensive survey,"CX Liang, Z Bi, T Wang, M Liu, X Song, Y Zhang…","Authorea …, 2025 -",2025,,19,2026-07-21/22,,,
GS0025,google_scholar,B1_peft_2,B1_2_lowrank_variants,Flat-lora: Low-rank adaptation over a flat loss landscape,2024,arxiv.org,2024,,24,2026-07-21/22,,,
GS0026,google_scholar,B1_peft_2,B1_2_lowrank_variants,Cola: Collaborative low-rank adaptation,"Y Zhou, C Yao, J Chen","Findings of the Association for …, 2025 -",2025,,16,2026-07-21/22,,,
GS0027,google_scholar,B1_peft_2,B1_2_lowrank_variants,Batched low-rank adaptation of foundation models,"Y Wen, S Chaudhuri","International Conference on Learning …, 2024 -",2024,,44,2026-07-21/22,,,
GS0028,google_scholar,B1_peft_2,B1_2_lowrank_variants,Chain-of-LoRA: Enhancing the instruction fine-tuning performance of low-rank adaptation on diverse instruction set,"X Qiu, T Hao, S Shi, X Tan…","IEEE signal processing …, 2024 -",2024,,31,2026-07-21/22,,,
GS0029,google_scholar,B1_peft_2,B1_2_lowrank_variants,RaSA: Rank-sharing low-rank adaptation,2025,arxiv.org,2025,,12,2026-07-21/22,,,
GS0030,google_scholar,B1_peft_2,B1_2_lowrank_variants,Ba-lora: Bias-alleviating low-rank adaptation to mitigate catastrophic inheritance in large language models,"Y Chang, Y Chang, Y Wu","arXiv preprint arXiv:2408.04556, 2024 -",2024,,26,2026-07-21/22,,,
GS0031,google_scholar,B1_peft_2,B1_2_lowrank_variants,Gralora: Granular low-rank adaptation for parameter-efficient fine-tuning,"Y Jung, D Ahn, H Kim, T Kim…","Advances in Neural …, 2026 -",2026,,12,2026-07-21/22,,,
GS0032,google_scholar,B1_peft_2,B1_2_lowrank_variants,Towards robust and efficient federated low-rank adaptation with heterogeneous clients,2025,aclanthology.org,2025,,33,2026-07-21/22,,,
GS0033,google_scholar,B1_peft_2,B1_2_lowrank_variants,PRILoRA: Pruned and rank-increasing low-rank adaptation,2024,aclanthology.org,2024,,17,2026-07-21/22,,,
GS0034,google_scholar,B1_peft_2,B1_2_lowrank_variants,Altlora: Towards better gradient approximation in low-rank adaptation with alternating projections,"X Yu, Y Wang, J Chen, L Xue","Advances in Neural …, 2026 -",2026,,11,2026-07-21/22,,,
GS0035,google_scholar,B1_peft_2,B1_2_lowrank_variants,Structure-aware low-rank adaptation for parameter-efficient fine-tuning,"Y Hu, Y Xie, T Wang, M Chen, Z Pan","Mathematics, 2023",2023,mdpi.com,37,2026-07-21/22,,,
GS0036,google_scholar,B1_peft_2,B1_2_lowrank_variants,DyLoRA: Parameter-efficient tuning of pre-trained models using dynamic search-free low-rank adaptation,"M Valipour, M Rezagholizadeh…","Proceedings of the …, 2023 -",2023,,471,2026-07-21/22,,,
GS0037,google_scholar,B1_peft_2,B1_2_lowrank_variants,Federated low-rank adaptation for foundation models: A survey,"Y Yang, G Long, Q Lu, L Zhu, J Jiang…","arXiv preprint arXiv …, 2025 -",2025,,13,2026-07-21/22,,,
GS0038,google_scholar,B1_peft_2,B1_2_lowrank_variants,Autolora: Automatically tuning matrix ranks in low-rank adaptation based on meta learning,"R Zhang, R Qiang, SA Somayajula…","Proceedings of the 2024 …, 2024 -",2024,,81,2026-07-21/22,,,
GS0039,google_scholar,B1_peft_2,B1_2_lowrank_variants,A Bayesian interpretation of adaptive low-rank adaptation,"H Chen, PN Garner","ICASSP 2025-2025 IEEE International …, 2025 -",2025,,4,2026-07-21/22,,,
GS0040,google_scholar,B1_peft_2,B1_2_lowrank_variants,Triangular Adaptive Low-Rank Adaptation for Parameter-Efficient Fine-Tuning,"Y Liang, Y Wang, Y Zeng","IEEE Transactions on Neural …, 2026 -",2026,,,2026-07-21/22,,,
GS0041,google_scholar,B1_peft_2,B1_2_lowrank_variants,Hybrid-LoRA: Bridging Full Fine-Tuning and Low-Rank Adaptation for Post-Training,"C Zhang, W Zhu, K Lee","arXiv preprint arXiv:2605.18822, 2026 -",2026,,,2026-07-21/22,,,
GS0042,google_scholar,B1_peft_2,B1_2_lowrank_variants,Efficient Fine-Tuning of Large Models via Nested Low-Rank Adaptation,"L Li, C Lin, D Li, YL Huang, W Li, T Wu…","Proceedings of the …, 2025 -",2025,,8,2026-07-21/22,,,
GS0043,google_scholar,B1_peft_2,B1_2_lowrank_variants,Elalora: Elastic & learnable low-rank adaptation for efficient model fine-tuning,2025,arxiv.org,2025,,8,2026-07-21/22,,,
GS0044,google_scholar,B1_peft_2,B1_2_lowrank_variants,Adarank: Disagreement based module rank prediction for low-rank adaptation,Y Dong,"arXiv preprint arXiv:2408.09015, 2024",2024,arxiv.org,2,2026-07-21/22,,,
GS0045,google_scholar,B1_peft_2,B1_2_lowrank_variants,TsqLoRA: Towards Sensitivity and Quality Low-Rank Adaptation for Efficient Fine-Tuning,"Y Chen, Y Han, L Zhang, Y Du…","ICASSP 2026-2026 IEEE …, 2026 -",2026,,,2026-07-21/22,,,
GS0046,google_scholar,B1_peft_2,B1_2_lowrank_variants,Nora: Nested low-rank adaptation for efficient fine-tuning large models,"arXiv:2408.10280, 2024",arxiv.org,2024,,26,2026-07-21/22,,,
GS0047,google_scholar,B1_peft_2,B1_2_lowrank_variants,Aslora: Adaptive sharing low-rank adaptation across layers,"Recognition, 2026",Elsevier,2026,,5,2026-07-21/22,,,
GS0048,google_scholar,B1_peft_2,B1_2_lowrank_variants,RaLo: Rank-aware Low-rank Adaptation for Pre-trained Foundation Models,"Y Deng, G Zhou, Q Zhao","Neural Networks, 2025",2025,Elsevier,1,2026-07-21/22,,,
GS0049,google_scholar,B1_peft_2,B1_2_lowrank_variants,SuLoRA: Subspace Low-Rank Adaptation for Parameter-Efficient Fine-Tuning,"C Ding, J Li, S Dong, X Gao, Y He…","Findings of the …, 2025 -",2025,,6,2026-07-21/22,,,
GS0050,google_scholar,B1_peft_2,B1_2_lowrank_variants,DMLoRA: Dynamic Multi-Subspace Low-Rank Adaptation,"C Jiang, F Zhu, X Chen, J Zhu, B Zheng…","… Proceedings of the …, 2025 -",2025,,2,2026-07-21/22,,,
GS0051,google_scholar,B1_peft_2,B1_2_lowrank_variants,Regularizing Subspace Redundancy of Low-Rank Adaptation,2025,dl.acm.org,2025,,,2026-07-21/22,,,
GS0052,google_scholar,B1_peft_2,B1_2_lowrank_variants,TriAdaptLoRA: Brain-Inspired Triangular Adaptive Low-Rank Adaptation for Parameter-Efficient Fine-Tuning,"Y Liang, Y Wang, Y Zeng","arXiv preprint arXiv:2501.08008, 2025 -",2025,,2,2026-07-21/22,,,
GS0053,google_scholar,B1_peft_2,B1_2_lowrank_variants,Denselora: Dense low-rank adaptation of large language models,2025,aclanthology.org,2025,,12,2026-07-21/22,,,
GS0054,google_scholar,B1_peft_2,B1_2_lowrank_variants,LeLoRA: Learnable Low-Rank Adaptation of Large Language Models,"X Zhou, M Zhang, Z Lee, W Ye…","Proceedings of the 64th …, 2026 -",2026,,,2026-07-21/22,,,
GS0055,google_scholar,B1_peft_2,B1_2_lowrank_variants,Reflora: Refactored low-rank adaptation for efficient fine-tuning of large models,"Y Zhang, B Li, G Giannakis","Advances in Neural …, 2026 -",2026,,6,2026-07-21/22,,,
GS0056,google_scholar,B1_peft_2,B1_2_lowrank_variants,Beyond higher rank: Token-wise input-output projections for efficient low-rank adaptation,"S Li, X Luo, H Wang, X Tang, Z Cui…","Advances in …, 2026 -",2026,,8,2026-07-21/22,,,
GS0057,google_scholar,B1_peft_2,B1_2_lowrank_variants,Selora: Self-expanding low-rank adaptation of latent diffusion model for medical image synthesis,2024,arxiv.org,2024,,10,2026-07-21/22,,,
GS0058,google_scholar,B1_peft_2,B1_2_lowrank_variants,A concise analysis of low-rank adaptation,Y Chen,"Computer Science Undergradaute Conference 2025 …, 2023 -",2025,,1,2026-07-21/22,,,
GS0059,google_scholar,B1_peft_2,B1_2_lowrank_variants,E²LoRA: Efficient and Effective Low-Rank Adaptation with Entropy-Guided Adaptive Sharing,"M Li, P Ye, J Ye, T Chen","The Fourteenth International …, 2026 -",2026,,1,2026-07-21/22,,,
GS0060,google_scholar,B1_peft_2,B1_2_lowrank_variants,Loft: Low-rank adaptation that behaves like full fine-tuning,"N Tastan, S Laskaridis, M Takác…","arXiv preprint arXiv …, 2025 -",2025,,10,2026-07-21/22,,,
GS0061,google_scholar,B1_peft_2,B1_2_lowrank_variants,Low-rank adaptation redux for large models,"B Li, Y Zhang, GB Giannakis","arXiv preprint arXiv:2604.21905, 2026 -",2026,,2,2026-07-21/22,,,
GS0062,google_scholar,B1_peft_2,B1_2_lowrank_variants,Automatic Rank Determination for Low-Rank Adaptation via Submodular Function Maximization,"Y Gao, VYF Tan","IEEE Transactions on Signal Processing, 2026 -",2026,,,2026-07-21/22,,,
GS0063,google_scholar,B1_peft_2,B1_2_lowrank_variants,PRLoRA: Pyramid-structured low-rank adaptation balancing global context and local precision in large language models,"X Li, C Guo, Q He, M Dong, K Ota","Knowledge-Based Systems, 2026 -",2026,,,2026-07-21/22,,,
GS0064,google_scholar,B1_peft_2,B1_2_lowrank_variants,SVDLoRA: Data-Driven Low-Rank Adaptation via Spectral Decomposition,"F Zhang, S Shen, C Bi, L Su, Q Huang…","… Conference on Data …, 2025 -",2025,,,2026-07-21/22,,,
GS0065,google_scholar,B1_peft_2,B1_2_lowrank_variants,Dora: Enhancing parameter-efficient fine-tuning with dynamic rank distribution,"Y Mao, K Huang, C Guan, G Bao, F Mo…","Proceedings of the 62nd …, 2024 -",2024,,72,2026-07-21/22,,,
GS0066,google_scholar,B1_peft_2,B1_2_lowrank_variants,Delora: Decoupling angles and strength in low-rank adaptation,"M Bini, L Girrbach, Z Akata","arXiv preprint arXiv:2503.18225, 2025 -",2025,,18,2026-07-21/22,,,
GS0067,google_scholar,B1_peft_2,B1_2_lowrank_variants,Bidora: Bi-level optimization-based weight-decomposed low-rank adaptation,"P Qin, R Zhang, P Xie","arXiv preprint arXiv:2410.09758, 2024 -",2024,,5,2026-07-21/22,,,
GS0068,google_scholar,B1_peft_2,B1_2_lowrank_variants,Edora: Efficient weight-decomposed low-rank adaptation via singular value decomposition,"H Nasiri, P Garraghan","arXiv preprint arXiv:2501.12067, 2025 -",2025,,7,2026-07-21/22,,,
GS0069,google_scholar,B1_peft_2,B1_2_lowrank_variants,DoRA+: Enhancing Weight-Decomposed Low-Rank Adaptation for Hospital Discharge Paper Summarization,2026,Elsevier,2026,,,2026-07-21/22,,,
GS0070,google_scholar,B1_peft_2,B1_2_lowrank_variants,BoRA: Bi-dimensional weight-decomposed low-rank adaptation,2024,arxiv.org,2024,,3,2026-07-21/22,,,
GS0071,google_scholar,B1_peft_2,B1_2_lowrank_variants,DoRAN: Stabilizing Weight-Decomposed Low-Rank Adaptation via Noise Injection and Auxiliary Networks,2025,arxiv.org,2025,,,2026-07-21/22,,,
GS0072,google_scholar,B1_peft_2,B1_2_lowrank_variants,Transformed low-rank adaptation via tensor decomposition and its applications to text-to-image models,"Z Tao, Y Takida, N Murata, Q Zhao…","Proceedings of the …, 2025 -",2025,,6,2026-07-21/22,,,
GS0073,google_scholar,B1_peft_2,B1_2_lowrank_variants,Low-Rank Adaptation of Pre-Trained Vision Backbones for Energy-Efficient Image Coding For Machines,"Y Zhang, Z Duan, Y Huang…","2025 IEEE International …, 2025 -",2025,,1,2026-07-21/22,,,
GS0074,google_scholar,B1_peft_2,B1_2_lowrank_variants,Low-rank adaptation vs. Fine-tuning for handwritten text recognition,"L Hüttner, M Mayr, T Gorges, F Wu…","Proceedings of the …, 2025 -",2025,,3,2026-07-21/22,,,
GS0075,google_scholar,B1_peft_2,B1_2_lowrank_variants,Map: Revisiting weight decomposition for low-rank adaptation,2025,arxiv.org,2025,,2,2026-07-21/22,,,
GS0076,google_scholar,B1_peft_2,B1_2_lowrank_variants,CLIP-DoRA: Weight-decomposed Low-rank Adaptation for Efficient Vision-Language Models,2025,Elsevier,2025,,1,2026-07-21/22,,,
GS0077,google_scholar,B1_peft_2,B1_2_lowrank_variants,Stella: Subspace learning in low-rank adaptation using stiefel manifold,"Z Li, S Sajadmanesh, J Li, L Lyu","Advances in Neural …, 2026 -",2026,,8,2026-07-21/22,,,
GS0078,google_scholar,B1_peft_2,B1_2_lowrank_variants,D2-LoRA: A Synergistic Approach to Differential and Directional Low-Rank Adaptation,"N Fujisawa, M Kondo","arXiv preprint arXiv:2602.14728, 2026",2026,arxiv.org,,2026-07-21/22,,,
GS0079,google_scholar,B1_peft_2,B1_2_lowrank_variants,Towards Understanding the Dynamics of Low-Rank Adaptation,,,,,,2026-07-21/22,,,
GS0080,google_scholar,B1_peft_2,B1_2_lowrank_variants,MoR: Mixture of Ranks for Low-Rank Adaptation Tuning,2024,arxiv.org,2024,,1,2026-07-21/22,,,
GS0081,google_scholar,B1_peft_2,B1_2_lowrank_variants,Speaker personalization for automatic speech recognition using weight-decomposed low-rank adaptation,"G Joseph, A Baby","Proc. Interspeech 2024, 2024",2024,isca-archive.org,8,2026-07-21/22,,,
GS0082,google_scholar,B1_peft_2,B1_2_lowrank_variants,Sbora: Low-rank adaptation with regional weight updates,2024,Springer,2024,,10,2026-07-21/22,,,
GS0083,google_scholar,B1_peft_2,B1_2_lowrank_variants,RidgeloRA: Matrix ridge enhanced low-rank adaptation of large language models,"J Zhu, J Ai, Y Li, Y Yin, Y Wang…","Advances in Neural …, 2026 -",2026,,1,2026-07-21/22,,,
GS0084,google_scholar,B1_peft_2,B1_2_lowrank_variants,Low-Rank Adaptation with Task-Relevant Feature Enhancement for Fine-tuning Language Models,"C Li, C Ding, K Luan, X Di","arXiv preprint arXiv:2412.09827, 2024 -",2024,,1,2026-07-21/22,,,
GS0085,google_scholar,B1_peft_2,B1_2_lowrank_variants,OP-LoRA: The Blessing of Dimensionality with Overparameterized Low-Rank Adaptation,"P Teterwak, K Saenko…","Proceedings of the …, 2026 -",2026,,,2026-07-21/22,,,
GS0086,google_scholar,B1_peft_2,B1_2_lowrank_variants,Exploring Efficient Learning of Small BERT Networks with LoRA and DoRA,2025,arxiv.org,2025,,1,2026-07-21/22,,,
GS0087,google_scholar,B1_peft_2,B1_2_lowrank_variants,BaLoRA: Bayesian Low-Rank Adaptation of Large Scale Models,"D Coscia, S Löwe, M Welling","arXiv preprint arXiv:2605.08110, 2026 -",2026,,,2026-07-21/22,,,
GS0088,google_scholar,B1_peft_2,B1_2_lowrank_variants,Vera: Vector-based random matrix adaptation,"D Kopiczko, T Blankevoort…","… Conference on Learning …, 2024 -",2024,,556,2026-07-21/22,,,
GS0089,google_scholar,B1_peft_2,B1_2_lowrank_variants,PVeRA: Probabilistic Vector-Based Random Matrix Adaptation,"L Fillioux, E Ferrante, PH Cournède…","Proceedings of the …, 2026 -",2026,,,2026-07-21/22,,,
GS0090,google_scholar,B1_peft_2,B1_2_lowrank_variants,1LoRA: Summation compression for very low-rank adaptation,"A Quercia, Z Cao, A Bangun, RD Paul…","Proceedings of the …, 2026 -",2026,,3,2026-07-21/22,,,
GS0091,google_scholar,B1_peft_2,B1_2_lowrank_variants,Flexora: Flexible low-rank adaptation for large language models,2025,aclanthology.org,2025,,14,2026-07-21/22,,,
GS0092,google_scholar,B1_peft_2,B1_2_lowrank_variants,ULoRA: Universal Low-Rank Adaptation of Diverse Deep Learning Architectures,,,,,,2026-07-21/22,,,
GS0093,google_scholar,B1_peft_2,B1_2_lowrank_variants,Selective aggregation for low-rank adaptation in federated learning,"P Guo, S Zeng, Y Wang, H Fan…","International …, 2025 -",2025,,117,2026-07-21/22,,,
GS0094,google_scholar,B1_peft_2,B1_2_lowrank_variants,Less is More: Resource-Efficient Low-Rank Adaptation,2025,arxiv.org,2025,,1,2026-07-21/22,,,
GS0095,google_scholar,B1_peft_2,B1_2_lowrank_variants,Fast randomized low-rank adaptation of pre-trained language models with pac regularization,"Z Lei, D Qian, W Cheung","Findings of the Association for …, 2024 -",2024,,3,2026-07-21/22,,,
GS0096,google_scholar,B1_peft_2,B1_2_lowrank_variants,Loldu: Low-rank adaptation via lower-diag-upper decomposition for parameter-efficient fine-tuning,"Y Shi, Y Wu, J Wei, R Ran, C Sun…","IEEE Transactions on …, 2026 -",2026,,7,2026-07-21/22,,,
GS0097,google_scholar,B1_peft_2,B1_2_lowrank_variants,OSoRA: Output-Dimension and Singular-Value Initialized Low-Rank Adaptation,"J Han, S Zhang, K Zhang","arXiv preprint arXiv:2505.14350, 2025 -",2025,,2,2026-07-21/22,,,
GS0098,google_scholar,B1_peft_2,B1_2_lowrank_variants,GPTQ-intrinsic LoRA: A Near-optimal Algorithm for Low-precision Quantization with Low-rank Adaptation,"S Zhang, R Saab","arXiv preprint arXiv:2606.01412, 2026",2026,arxiv.org,,2026-07-21/22,,,
GS0099,google_scholar,B1_peft_2,B1_2_lowrank_variants,Task-circuit quantization: Leveraging knowledge localization and interpretability for compression,2025,arxiv.org,2025,,5,2026-07-21/22,,,
GS0100,google_scholar,B1_peft_2,B1_2_lowrank_variants,FinLoRA: finetuning quantized financial large language models using low-rank adaptation,2024,arxiv.org,2024,,8,2026-07-21/22,,,
GS0101,google_scholar,B1_peft_2,B1_2_lowrank_variants,Qdylora: Quantized dynamic low-rank adaptation for efficient large language model tuning,"H Rajabzadeh, M Valipour, T Zhu…","Proceedings of the …, 2024 -",2024,,48,2026-07-21/22,,,
GS0102,google_scholar,B1_peft_2,B1_2_lowrank_variants,Intlora: Integral low-rank adaptation of quantized diffusion models,2024,arxiv.org,2024,,9,2026-07-21/22,,,
GS0103,google_scholar,B1_peft_2,B1_2_lowrank_variants,Flora: Federated fine-tuning large language models with heterogeneous low-rank adaptations,"Z Wang, Z Shen, Y He, G Sun…","Advances in Neural …, 2024 -",2024,,224,2026-07-21/22,,,
GS0104,google_scholar,B1_peft_2,B1_2_lowrank_variants,Ravan: Multi-head low-rank adaptation for federated fine-tuning,"A Raje, B Askin, D Jhunjhunwala…","Advances in Neural …, 2026 -",2026,,8,2026-07-21/22,,,
GS0105,google_scholar,UNASSIGNED,UNMATCHED,Gora: Gradient-driven adaptive low rank adaptation,"P Ye, Y Ren","Advances in Neural Information Processing …, 2026 -",2026,,30,2026-07-21/22,,,
GS0106,google_scholar,UNASSIGNED,UNMATCHED,Online-lora: Task-free online continual learning via low rank adaptation,"X Wei, G Li, R Marculescu","2025 IEEE/CVF Winter …, 2025 -",2025,,45,2026-07-21/22,,,
GS0107,google_scholar,UNASSIGNED,UNMATCHED,Adaptive low rank adaptation of segment anything to salient object detection,"R Cui, S He, S Qiu","arXiv preprint arXiv:2308.05426, 2023",2023,arxiv.org,22,2026-07-21/22,,,
GS0108,google_scholar,UNASSIGNED,UNMATCHED,Delta-lora: Fine-tuning high-rank parameters with the delta of low-rank matrices,"B Zi, X Qi, L Wang, J Wang, KF Wong…","arXiv preprint arXiv …, 2023 -",2023,,111,2026-07-21/22,,,
GS0109,google_scholar,UNASSIGNED,UNMATCHED,Radlora: a smart low-rank adaptive approach for radiological image classification: Y. Zheng et al.,"Y Zheng, Y Gao, J Liu, N Yao, Z Ji","Multimedia Systems, 2025",2025,Springer,1,2026-07-21/22,,,
GS0110,google_scholar,UNASSIGNED,UNMATCHED,SingLoRA: Low Rank Adaptation Using a Single Matrix,2025,arxiv.org,2025,,4,2026-07-21/22,,,
GS0111,google_scholar,UNASSIGNED,UNMATCHED,Low Rank Adaptation Enables Efficient Domain Transfer in Billion Parameter Language Models,J Yang,"Computer Life, 2026",2026,computer-life.org,,2026-07-21/22,,,
GS0112,google_scholar,UNASSIGNED,UNMATCHED,DIRA: Deep High-Rank Adaptation of Pre-Trained Language Models,"S Cao, D Zhang, X Zhang, J Wang…","ICASSP 2026-2026 …, 2026 -",2026,,,2026-07-21/22,,,
GS0113,google_scholar,UNASSIGNED,UNMATCHED,An Orthogonal High-Rank Adaptation for Large Language Models,"X Zhang, GZ Chen, S Li, Z Liu, CLP Chen…","Proceedings of the …, 2025 -",2025,,1,2026-07-21/22,,,
GS0114,google_scholar,UNASSIGNED,UNMATCHED,LoRTA: Low rank tensor adaptation of large language models,"I Hounie, C Kanatsoulis, A Tandon…","arXiv preprint arXiv …, 2024 -",2024,,13,2026-07-21/22,,,
GS0115,google_scholar,UNASSIGNED,UNMATCHED,Canonical rank adaptation: An efficient fine-tuning strategy for vision transformers,2025,openreview.net,2025,,8,2026-07-21/22,,,
GS0116,google_scholar,UNASSIGNED,UNMATCHED,TeRA: Vector-based random tensor network for high-rank adaptation of large language models,"Y Gu, W Zhou, G Iacovides…","Proceedings of the 64th …, 2026 -",2026,,4,2026-07-21/22,,,
GS0117,google_scholar,UNASSIGNED,UNMATCHED,Sira: Sparse mixture of low rank adaptation,2023,arxiv.org,2023,,55,2026-07-21/22,,,
GS0118,google_scholar,UNASSIGNED,UNMATCHED,Compressible dynamics in deep overparameterized low-rank learning & adaptation,2024,arxiv.org,2024,,46,2026-07-21/22,,,
GS0119,google_scholar,UNASSIGNED,UNMATCHED,Sparsity Outperforms Low-Rank Projections in Few-Shot Adaptation,"N Mrabah, N Richet, I Ben Ayed…","Proceedings of the …, 2025 -",2025,,2,2026-07-21/22,,,
GS0120,google_scholar,UNASSIGNED,UNMATCHED,HyperAdapt: Simple High-Rank Adaptation,"A Gurung, J Campbell","arXiv preprint arXiv:2509.18629, 2025",2025,arxiv.org,2,2026-07-21/22,,,
GS0121,google_scholar,UNASSIGNED,UNMATCHED,Not all directions matter: Towards structured and task-aware low-rank model adaptation,"X Xiao, C Ma, Y Zhang, C Liu, Z Wang…","Proceedings of the …, 2026 -",2026,,3,2026-07-21/22,,,
GS0122,google_scholar,UNASSIGNED,UNMATCHED,Art and science of quantizing large-scale models: A comprehensive overview,2024,arxiv.org,2024,,15,2026-07-21/22,,,
GS0123,google_scholar,UNASSIGNED,UNMATCHED,"Quantize the Target, Quantize the Drafter: Efficient Inference with Qwen3. 5-4B","J Kim, J Lee, BK Kim","arXiv preprint arXiv:2607.04244, 2026",2026,arxiv.org,,2026-07-21/22,,,
GS0124,google_scholar,UNASSIGNED,UNMATCHED,Apiq: Finetuning of 2-bit quantized large language model,"B Liao, C Herold, S Khadivi, C Monz","Proceedings of the 2024 …, 2024 -",2024,,37,2026-07-21/22,,,
